ID_INVENTARIO,RUC,RAZON_SOCIAL,NOMBRE_COMERCIAL,DIRECCION_ESTABLECIMIENTO,UBIGEO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_PROVINCIA,PROVINCIA,CODIGO_DISTRITO,DISTRITO,REPRESENTANTE_LEGAL,TELEFONO,WEB,CORREO_ELECTRONICO,CLASE,CATEGORIA,CONSTANCIA_CERTIFICADO,FECHA_EXPEDIENTE,HABITACIONES,CAMAS,CAMAS_POR_HABITACION,ESTADO,FECHA_CORTE
EST-00001,20601127467,PPF INVERSIONES E.I.R.L.,TROPICAL BREEZE SUITES,CAR. IIRSA NORTE,220909,22,SAN MARTIN,09,SAN MARTIN,09,LA BANDA DE SHILCAYO,6173AEB7B506,942680894,NO REGISTRADO,AAVA310@GMAIL.COM,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,6,12,2,ACTIVO,20260609
EST-00002,20601853460,TREVALSAN E.I.R.L,HOSPEDAJE HATUM WASI,JR. SANTA ROSA 595,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,A9E787FCE406,942995557,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,9,9,1,ACTIVO,20260609
EST-00003,10011066548,PAUCAR LOZANO EDITH,HOSPEDAJE LA POSADA DEL MIRADOR,JR. NICOLAS DE PIEROLA 381,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,B3D281DCA503,508778,NO REGISTRADO,PALO_EDITH@HOTMAIL.COM,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,23,33,1.4,ACTIVO,20260609
EST-00004,10448262681,AMASIFUEN AMASIFUEN RICARDO,HOSPEDAJE SECRETOS,PJ. LA PAZ 118,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,2B7AA97A4EA6,529590,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,20,23,1.2,ACTIVO,20260609
EST-00005,10010663674,MELENDEZ PEZO JORGE TEODORO,ALOJAMIENTO SANTA MILENA,JR. PEDRO DE URZUA 451,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,820112C3053F,522901,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,14,16,1.1,ACTIVO,20260609
EST-00006,10086117024,ROMERO ACUNA WALTER,FINCA ALEMANA,JR. TULUMAYO,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,E63518EAD109,956204637,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,8,16,2,ACTIVO,20260609
EST-00007,10011568322,FLORES TANCHIVA AYDE,PLAZA HOSPEDAJE,JR. SAN MARTIN 789,220501,22,SAN MARTIN,05,LAMAS,01,LAMAS,1DEE7CF92AD7,500051,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,12,12,1,ACTIVO,20260609
EST-00008,10715013814,CORREA LOZANO NELSER AROL,RESIDENCIAL SAN FRANCISCO,JR. AUGUSTO B. LEGUIA 314,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,1BC6896219B2,959035580,NO REGISTRADO,GM_INGA24@GMAIL.COM,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,6,6,1,ACTIVO,20260609
EST-00009,10010756648,VALLES RENGIFO VICTOR HUGO,ALOJAMIENTO PROGRESO,JR. PROGRESO 691,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,EE46CABB60BA,523535,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,15,15,1,ACTIVO,20260609
EST-00010,10078805019,PLATZER MUHLIG ANITA MARITZA,COLIBRI BACKPACKER,JR. GREGORIO DELGADO 374,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,8D67C7AE6D39,527798,WWW.BACKPACKERCOLIBRI.COM,COLIBRI.TARAPOTO@GMAIL.COM,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,6,6,1,ACTIVO,20260609
EST-00011,20494160596,INVERSIONES TURISTICAS MONTE VERDE E.I.R.L,HUASAI WASI ECOLODGE,CAR. AUCALOMA,220912,22,SAN MARTIN,09,SAN MARTIN,12,SAN ANTONIO,32E720808FBF,042630716,WWW.HUASAIWASIECOLOGE.COM.PE,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,113-22.09-01,20180124,12,24,2,ACTIVO,20260609
EST-00012,10443397570,DEL AGUILA SAAVEDRA CESAR AUGUSTO,ALOJAMIENTO COSTA FLORIDA,JR. EDGAR NELSON GIL RIOS,220909,22,SAN MARTIN,09,SAN MARTIN,09,LA BANDA DE SHILCAYO,5FA01CEB8E60,969915034,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,7,14,2,ACTIVO,20260609
EST-00013,20600534913,ALOJAMIENTO EROS S.R.L.,ALOJAMIENTO EROS,JR. ATUMPAMPA 202,220910,22,SAN MARTIN,09,SAN MARTIN,10,MORALES,BCD405B95E6F,942821955,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,12,12,1,ACTIVO,20260609
EST-00014,10470226850,PINCHI TAPULLIMA DIOMAR,HOSPEDAJE MILENIO,JR. LIMA 269,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,6EEC5164D4FA,976663351,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,10,16,1.6,ACTIVO,20260609
EST-00015,10009490588,LINARES HERRERA CARLOS BLANDO,HOSPEDAJE FLOR DE BELEN,JR. CIRCUMBALACION CUMBAZA,220910,22,SAN MARTIN,09,SAN MARTIN,10,MORALES,511DBAB401DA,942994940,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,6,6,1,ACTIVO,20260609
EST-00016,20601838223,HOME YUNTAWASI BACKPACKERS PERU E.I.R.L.,YUNTAWASI HOSTEL,JR. TOMAS VILLACORTA 228,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,FB3976E4BADB,586145,WWW.TODOPERU.NET,KAOGUSHI@TODOPERU.NET,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,7,14,2,ACTIVO,20260609
EST-00017,20531282036,HAMPICHICUY E.I.R.L,ECOALOJAMIENTO HAMPICHICUY,JR. PRIMERO DE ABRIL 772,220901,22,SAN MARTIN,09,SAN MARTIN,01,TARAPOTO,FBDCC6195A2D,528014,WWW.HAMPICHICUY@TERRA.COM.PE,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,NO REGISTRADO,20990101,6,12,2,ACTIVO,20260609
